# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
pat-benatar--hit-me-with-your-best-shot|3312985|170|127.6|Hit Me With Your Best Shot
pat-benatar--love-is-a-battlefield|646326522|250|0|Love Is A Battlefield
pearl-jam--even-flow|7675129|294|106|Even Flow
pearl-jam--life-wasted|547505|232|141.6|Life Wasted
pearl-jam--mind-your-manners|71469174|158|0|Mind Your Manners
peter-frampton--do-you-feel-like-we-do|2302943|433|107.7|Do You Feel Like We Do
phoenix--lasso|3026048771|167|0|Lasso
pierce-the-veil--king-for-a-day-ft-kellin-quinn|121922468|236|113|King For A Day
poison--every-rose-has-its-thorn|3874974|260|140.1|Every Rose Has Its Thorn (2003 Remaster)
poison--nothin-but-a-good-time|487041162|223|129.2|Nothin' But A Good Time
poison--talk-dirty-to-me|3136098|223|157.8|Talk Dirty To Me
poison--unskinny-bop|3235346|227|92.3|Unskinny Bop
priestess--lay-down|||0|
primus--john-the-fisherman|11475323|233|116.1|John the Fisherman
prototype--the-way-it-ends|2118967237|321|0|The Way It Ends
public-enemy-featuring-zakk-wylde--bring-the-noise-20xx|||0|
queen--bohemian-rhapsody|4091937401|354|0|Bohemian Rhapsody
queen--i-want-it-all|4092337241|281|0|I Want It All
queen--killer-queen|4091936641|182|117.1|Killer Queen
queen--stone-cold-crazy|4092333831|137|0|Stone Cold Crazy
queen--tie-your-mother-down|4091933791|288|0|Tie Your Mother Down
queen-and-david-bowie--under-pressure|4091932171|247|0|Under Pressure (feat. David Bowie)
queens-of-the-stone-age--3s-and-7s|7275157|214|131.2|3's & 7's
queens-of-the-stone-age--make-it-wit-chu|646265222|229|92.1|Make It Wit Chu
queens-of-the-stone-age--no-one-knows|7179758|278|170.1|No One Knows
queens-of-the-stone-age--sick-sick-sick|7275151|215|193.2|Sick, Sick, Sick (Album Version)
queensryche--jet-city-woman|3145377|321|110|Jet City Woman (Remastered)
quiet-riot--bang-your-head-metal-health|1015631|316|120.2|Metal Health (Bang Your Head)
radio-futura--escuela-de-calor|988180|211|122|Escuela de Calor
rage-against-the-machine--bulls-on-parade|7675196|230|168.1|Bulls On Parade
rage-against-the-machine--killing-in-the-name|62082829|313|163.4|Killing In The Name
rammstein--du-hast|630595142|235|124.9|Du hast
rammstein--waidmanns-heil|1915819867|212|0|Waidmanns Heil
ramones--i-wanna-be-sedated|556340432|149|162.1|I Wanna Be Sedated
ramones--theme-from-spiderman|||0|
rancid--salvation|378243551|173|142.1|Salvation
ratt--round-and-round|3785182782|265|0|Round and Round
red-hot-chili-peppers--higher-ground|785270|203|141.1|Higher Ground
red-hot-chili-peppers--suck-my-kiss|725813|217|101.3|Suck My Kiss
red-rider--lunatic-fringe|3297324|260|97.3|Lunatic Fringe
rem--losing-my-religion|136334560|266|125.7|Losing My Religion
rem--the-one-i-love|3154047|196|0|The One I Love (Remastered 2006)
reverend-horton-heat--psychobilly-freakout|1137215782|159|0|Psychobilly Freakout
revolverheld--generation-rock|573009|164|157.8|Generation Rock
rick-derringer--rock-and-roll-hoochie-koo|78204719|222|99.9|Rock and Roll, Hoochie Koo
rihanna--california-king-bed|13529564|251|170.1|California King Bed (Album Version)
rise-against--prayer-of-the-refugee|7472037|199|98|Prayer Of The Refugee
rise-against--re-education-through-labor|7419115|222|152|Re-Education (Through Labor)
rise-against--savior|7419123|242|112.3|Savior
rise-against--tragedy-time|80860798|257|173|Tragedy + Time
rival-sons--keep-on-swinging|2822701312|239|0|Keep on Swinging (2023 Remastered Version)
robbie-williams-and-kylie-minogue--kids|3102421|286|184.6|Kids
rose-hill-drive--sneak-out|||0|
roy-orbison--oh-pretty-woman|78033230|176|126.8|Oh, Pretty Woman
royal-blood--little-monster|82917996|212|95.9|Little Monster
run-dmc--king-of-rock|2566820762|275|0|King Of Rock (Live 1986)
rush--2112-pt-1-overture|||0|
rush--2112-pt-2-the-temples-of-syrinx|||0|
rush--2112-pt-3-discovery|||0|
rush--2112-pt-4-presentation|||0|
rush--2112-pt-5-oracle-the-dream|||0|
rush--2112-pt-6-soliloquy|||0|
rush--2112-pt-7-grand-finale|||0|
rush--the-spirit-of-radio|971481852|299|0|The Spirit Of Radio
rush--yyz|10303627|265|141.1|YYZ
rx-bandits--its-only-another-parsec|3325135741|284|98|It's Only Another Parsec…
samhain--mother-of-mercy|||0|
santana--black-magic-woman|77879660|322|146.1|Black Magic Woman / Gypsy Queen
santana--no-one-to-depend-on|77879693|331|110.8|No One to Depend On
santigold--les-artistes|85440396|223|118.1|L.E.S. Artistes (Single)
scandal--the-warrior|1079844|235|0|The Warrior (feat. Patty Smyth)
scars-on-broadway--they-say|460203152|168|139.7|They Say
scorpions--no-one-like-you|14299458|246|116.1|No One Like You
scorpions--rock-you-like-a-hurricane|14299460|254|124.2|Rock You Like a Hurricane (2011)
scouts-of-st-sebastian--in-love|||0|
screaming-trees--nearly-lost-you|13177932|246|202.7|Nearly Lost You
senses-fail--cant-be-saved|1494476552|194|0|Can't Be Saved (Live)
sex-pistols--anarchy-in-the-uk|15927083|248|132.9|Anarchy in the U.K.
sex-pistols--pretty-vacant|33255571|195|144.1|Pretty Vacant
shadows-fall--the-light-that-blinds|108628768|298|182.1|The Light That Blinds
shaimus--all-of-this|8615242|155|160.2|All Of This
silversun-pickups--lazy-eye|3729317092|354|0|Lazy Eye
silversun-pickups--theres-no-secrets-this-year|3729256472|333|0|There's No Secrets This Year
skid-row--18-and-life|3803468322|232|0|18 and Life
skrillex--bangarang-ft-sirah|15781392|215|110|Bangarang (feat. Sirah)
slash-featuring-ian-astbury--ghost|||0|
slayer--chemical-warfare|1537305662|361|0|Chemical Warfare
slayer--raining-blood|65690449|254|175.2|Raining Blood
slayer--war-ensemble|65707333|292|199.7|War Ensemble (Album Version)
slipknot--before-i-forget|3819914|278|133.8|Before I Forget
slipknot--psychosocial|1195560|284|135.1|Psychosocial
snot--deadfall|2304768|139|146.1|Deadfall
snow-patrol--take-back-the-city|2296783|278|130|Take Back The City
social-distortion--mommys-little-monster|2526491521|211|0|Mommy's Little Monster
social-distortion--story-of-my-life|1068528|346|100.8|Story of My Life
sonic-youth--incinerate|3051667|295|153.1|Incinerate
sonic-youth--kool-thing|912072|244|154.8|Kool Thing
soundgarden--been-away-too-long|667824392|216|161.5|Been Away Too Long
soundgarden--black-rain|7087590|324|176.7|Black Rain
spacehog--in-the-meantime|761595|299|168.8|In the Meantime
spice-girls--wannabe|3133738|172|110|Wannabe
spinal-tap--tonight-im-gonna-rock-you-tonight|3531042421|158|89.9|Tonight I'm Gonna Rock You Tonight (2025 Remaster)
steely-dan--do-it-again|1987726127|354|0|Do It Again
steve-miller-band--the-joker|82159934|265|166|The Joker
steve-vai--speeding-vault-version|||0|
stevie-ray-vaughan--pride-and-joy|63391409|219|126.4|Pride and Joy
stevie-ray-vaughan--texas-flood|546610|321|173|Texas Flood
stevie-wonder--superstition|596034702|244|200.7|Superstition
sting--demolition-man|682078122|258|0|Demolition Man (My Songs Version)
stone-temple-pilots--interstate-love-song|3907803|193|168.8|Interstate Love Song
stone-temple-pilots--sex-type-thing|2794360|218|134.2|Sex Type Thing
stone-temple-pilots--trippin-on-a-hole-in-a-paper-heart|5931839|175|105.7|Trippin' on a Hole in a Paper Heart
stray-cats--rock-this-town|69070707|157|100.1|Rock This Town
strong-bad--trogdor|750787112|99|0|Trogdor
strung-out--calling|3472511831|260|0|Calling
stuck-in-the-sound--toy-boy|430168892|265|157.8|Toy Boy
styx--mr-roboto|952547|328|144.1|Mr. Roboto
styx--renegade|2289262|253|105.2|Renegade
sublime--santeria|127245051|183|181.3|Santeria
sublime--what-i-got|127245037|171|95.7|What I Got
suicidal-tendencies--institutionalized|17150507|229|134.2|Institutionalized
suicidal-tendencies--war-inside-my-head|1014271|208|0|War Inside My Head (Album Version)
sum-41--fat-lip|1125079|178|98|Fat Lip
sum-41--motivation|1125081|170|0|Motivation
sunny-day-real-estate--seven|1137158402|286|0|Seven (Remastered)
superbus--radio-song|834703482|141|154.8|Radio Song (Version Acoustique / Super Super Bonus)
survivor--eye-of-the-tiger|576431|245|108.8|Eye of the Tiger
system-of-a-down--byob|559789|257|101.6|B.Y.O.B.
system-of-a-down--toxicity|15523793|218|0|Toxicity
t-rex--20th-century-boy|12161724|221|135.1|20th Century Boy
taylor-swift--love-story|4634579|233|119.2|Love Story
taylor-swift--picture-to-burn|2282485|175|105.5|Picture To Burn
taylor-swift--you-belong-with-me|4634582|232|130|You Belong With Me
ted-nugent--cat-scratch-fever|834056|219|127.2|Cat Scratch Fever
ted-nugent--stranglehold|834269|503|148.2|Stranglehold
tenacious-d--master-exploder|13139082|144|149.8|Master Exploder
tenacious-d--the-metal|13139090|165|112|The Metal
tesla--modern-day-cowboy|2120063|318|113.3|Modern Day Cowboy
that-handsome-devil--elephant-bones|3039859921|225|0|Elephant Bones
the-1975--girls|69941971|254|107.9|Girls
the-acro-brats--callout|4027012|187|122|Callout
the-acro-brats--laughtrack|4027021|165|173.7|Laughtrack
the-airborne-toxic-event--gasoline|7255540|201|0|Gasoline
the-all-american-rejects--dirty-little-secret|1200367812|193|0|Dirty Little Secret
the-allman-brothers-band--jessica|549286852|448|142.6|Jessica
the-allman-brothers-band--ramblin-man|541866052|288|178.2|Ramblin' Man
the-amazing-crowns--mr-fix-it|97236724|152|0|Mr. Fix-It
the-answer--never-too-late|459255532|235|0|Never Too Late
the-bags--cavemen-rejoice|76923166|213|156|Cavemen Rejoice
the-black-crowes--hard-to-handle|143538848|507|197.8|Hard to Handle
the-black-keys--gold-on-the-ceiling|14932100|224|130.4|Gold on the Ceiling
the-bravery--believe|1178161|226|0|Believe
the-breaking-wheel--one-for-the-road|||0|
the-bronx--six-days-a-week|61594032|188|164.7|Six Days a Week
the-butthole-surfers--who-was-in-my-room-last-night|3405917|248|91.1|Who Was In My Room Last Night?
the-charlie-daniels-band--the-devil-went-down-to-georgia|851466|215|132.9|The Devil Went Down to Georgia
the-clash--complete-control|69505569|192|173.7|Complete Control
the-clash--safe-european-home|69924573|229|179.8|Safe European Home (Remastered)
the-cult--love-removal-machine|105426322|258|0|Love Removal Machine
the-cult--she-sells-sanctuary|105426372|252|0|She Sells Sanctuary
the-cure--fascination-street|6904535|315|100.1|Fascination Street (Remastered)
the-derek-trucks-band--younk-funk|1405792092|289|0|Younk Funk
the-dillinger-escape-plan--setting-fire-to-sleeping-giants|10969882|207|166.7|Setting Fire to Sleeping Giants
the-donnas--take-it-off|3822563|162|159|Take It Off
the-doors--love-me-two-times|3614146|195|133.4|Love Me Two Times
the-duke-spirit--send-a-little-love-token|705583532|158|0|Send a Little Love Token
the-edgar-winter-group--frankenstein|13161807|284|95.3|Frankenstein
the-edgar-winter-group--free-ride|851153|184|124.2|Free Ride
the-enemy--aggro|815084|204|145.6|Aggro
the-exies--hey-you|3090631|243|101.1|Hey You
the-fall-of-troy--fcpremix|16002476|237|166|F.C.P.R.E.M.I.X.
the-gaslight-anthem--45|||0|
the-go-gos--our-lips-are-sealed|3361314|164|130|Our Lips Are Sealed
the-go-gos--we-got-the-beat|11233716|153|151.4|We Got The Beat (2011 Remaster)
the-guess-who--american-woman|1051986|307|187.1|American Woman
the-hives--tick-tick-boom|1112816|205|135.1|Tick Tick Boom
the-jackson-5--abc|920082|178|187.1|ABC
the-jimi-hendrix-experience--purple-haze|4952885|170|109.7|Purple Haze
the-jimi-hendrix-experience--spanish-castle-magic|4952830|180|194.1|Spanish Castle Magic
the-jimi-hendrix-experience--the-wind-cries-mary|4952887|201|157.2|The Wind Cries Mary
the-killers--all-the-pretty-faces|1103275|286|0|All The Pretty Faces
the-killers--when-you-were-young|1109953|218|0|When You Were Young
the-kinks--all-day-and-all-of-the-night|3786363902|144|0|All Day And All Of The Night (Remastered)
the-kooks--naive|3158004|206|102.3|Naive
the-last-goodnight--pictures-of-you|3154725|190|103.9|Pictures Of You
the-last-vegas--raw-dog|3824189041|211|98.7|Raw Dog
the-living-end--carry-me-home|6639376|191|141.1|Carry Me Home
the-living-end--prisoner-of-society|3920798|229|150.9|Prisoner of Society
the-lumineers--ho-hey|757244922|163|160.3|Ho Hey
the-mars-volta--lvia-lviaquez|2309097|741|175.2|L'Via L'Viaquez
the-mighty-mighty-bosstones--the-impression-that-i-get|2485997701|194|0|The Impression That I Get
the-model-sons--story-of-my-love|||0|
the-neighborhoods--parasite|802248252|226|0|The Parasites
the-offspring--pretty-fly-for-a-white-guy|137233982|189|143.1|Pretty Fly (For A White Guy)
the-offspring--self-esteem|378299601|257|104.4|Self Esteem (2008 Remaster)
the-police--message-in-a-bottle|2525861|289|150.9|Message In A Bottle
the-police--so-lonely|2525878|287|154.8|So Lonely
the-police--synchronicity-ii|665714252|300|0|Synchronicity II
the-pretenders--tattooed-love-boys|867443052|178|0|Tattooed Love Boys (2018 Remaster)
the-raconteurs--steady-as-she-goes|1238177942|216|0|Steady, As She Goes
the-rolling-stones--cant-you-hear-me-knockin|4125585|434|152|Can't You Hear Me Knocking (2009 Mix)
the-rolling-stones--honky-tonk-women|16702525|179|124.5|Honky Tonk Women (Mono Version)
the-rolling-stones--paint-it-black|7818900|202|159|Paint It, Black
the-rolling-stones--stray-cat-blues|9956070|277|104.4|Stray Cat Blues
the-rolling-stones--sympathy-for-the-devil|9956063|377|116.1|Sympathy For The Devil
the-romantics--what-i-like-about-you|1066565|175|159.6|What I Like About You
the-runaways--cherry-bomb|5677465|138|136.5|Cherry Bomb
the-sleeping--dont-hold-back|1286109492|272|0|Don't Hold Back
the-slip--even-rats|988825112|333|0|Even Rats
the-smashing-pumpkins--bullet-with-butterfly-wings|62791738|256|130.8|Bullet With Butterfly Wings (Remastered 2012)
the-smashing-pumpkins--cherub-rock|432946882|298|173|Cherub Rock
the-smashing-pumpkins--today|14738294|201|164.7|Today (2011 Remaster)
the-stone-roses--love-spreads|2457815|346|184.6|Love Spreads
the-stone-roses--she-bangs-the-drums|3960792|232|147.1|She Bangs the Drums (Remastered 2009)
the-strokes--reptilia|14880812|219|157.8|Reptilia
the-sword--freya|3058956291|274|0|Freya
the-sword--maiden-mother-and-crone|3064837561|239|0|Maiden, Mother & Crone
the-sword--the-black-river|3064837581|353|0|The Black River
the-turtles--happy-together|2043943|176|119.8|Happy Together
the-upper-crust--eureka-ive-found-love|3546826831|176|0|Eureka - I've Found Love
the-vapors--turning-japanese|3177990|225|179|Turning Japanese
the-vines--get-free|3099711|127|138.7|Get Free
the-white-stripes--blue-orchid|1092293132|157|0|Blue Orchid
the-white-stripes--seven-nation-army|1153182282|231|0|Seven Nation Army
the-who--the-seeker|65414413|200|180.5|The Seeker (Edit)
the-who--wont-get-fooled-again|14267910|549|136|Won't Get Fooled Again
them-crooked-vultures--scumbag-blues|363657141|265|0|Scumbag Blues
thin-lizzy--bad-reputation|1124219|190|123.8|Bad Reputation
thin-lizzy--jailbreak|1101195|245|145.1|Jailbreak
thin-lizzy--the-boys-are-back-in-town|1101200|267|161.5|The Boys Are Back In Town
third-eye-blind--graduate|4111782|187|179|Graduate
third-eye-blind--semi-charmed-life|685709|268|102.1|Semi-Charmed Life (2006 Remaster)
thirty-seconds-to-mars--the-kill|3090875|231|122|The Kill
thrice--deadbolt|6248693|180|131.2|Deadbolt
toadies--possum-kingdom|7376280|309|100.6|Possum Kingdom
tokio-hotel--monsoon|1096774792|235|0|Monsoon 2020
tom-petty--runnin-down-a-dream|588236372|262|170.1|Runnin' Down A Dream
tom-petty-and-the-heartbreakers--american-girl|588236252|210|113.9|American Girl
tom-petty-and-the-heartbreakers--listen-to-her-heart|588236272|182|128|Listen To Her Heart
tonic--if-you-could-only-see|2422830|261|190.5|If You Could Only See
tool--parabola|722078552|363|100.8|Parabola
tool--schism|722078532|403|107.1|Schism
tool--vicarious|722078342|426|114.2|Vicarious
trust--antisocial|606908|310|182.1|Antisocial
tv-on-the-radio--wolf-like-me|558606542|287|0|Wolf Like Me
twisted-sister--i-wanna-rock|3803466332|183|0|I Wanna Rock
twisted-sister--were-not-gonna-take-it|3803466302|218|148.2|We're Not Gonna Take It
vagiant--ftk|||0|
valient-thorr--fall-of-pangea|4552564|421|153.1|Fall Of Pangea
vampire-weekend--a-punk|937332|137|0|A-Punk
van-halen--aint-talkin-bout-love|5093775|226|139.7|Ain't Talkin' 'Bout Love
van-halen--and-the-cradle-will-rock|97235634|213|107.7|And the Cradle Will Rock... (2015 Remaster)
van-halen--atomic-punk|97173558|179|99.2|Atomic Punk (2015 Remaster)
van-halen--beautiful-girls|97235696|236|101.1|Beautiful Girls (2015 Remaster)
van-halen--cathedral|97235776|83|113.9|Cathedral (2015 Remaster)
van-halen--dance-the-night-away|97235680|188|129.2|Dance the Night Away (2015 Remaster)
van-halen--eruption|97173548|102|164.7|Eruption (2015 Remaster)
van-halen--everybody-wants-some|97235636|306|144.6|Everybody Wants Some!! (2015 Remaster)
van-halen--feel-your-love-tonight|97173560|220|136|Feel Your Love Tonight (2015 Remaster)
van-halen--hang-em-high|97235774|208|129.2|Hang 'em High (2015 Remaster)
van-halen--hear-about-it-later|97325634|272|123|Hear About It Later (2015 Remaster)
van-halen--hot-for-teacher|97098418|282|126.4|Hot for Teacher (2015 Remaster)
van-halen--ice-cream-man|97173564|198|179.8|Ice Cream Man (2015 Remaster)
van-halen--im-the-one|97173554|224|113|I'm the One (2015 Remaster)
van-halen--intruder-oh-pretty-woman|||0|
van-halen--jamies-cryin|97173556|209|128|Jamie's Cryin' (2015 Remaster)
van-halen--jump|97098410|241|129.6|Jump (2015 Remaster)
van-halen--little-guitars|97235788|227|148.7|Little Guitars (2015 Remaster)
van-halen--loss-of-control|97235644|158|147.1|Loss of Control (2015 Remaster)
van-halen--mean-street|97325628|300|102.6|Mean Street (2015 Remaster)
van-halen--panama|97098412|210|141.1|Panama (2015 Remaster)
van-halen--romeo-delight|97235640|259|106.3|Romeo Delight (2015 Remaster)
van-halen--runnin-with-the-devil|97173546|214|95.7|Runnin' with the Devil (2015 Remaster)
van-halen--so-this-is-love|97325640|185|159|So This Is Love? (2015 Remaster)
van-halen--somebody-get-me-a-doctor|97235682|173|129.2|Somebody Get Me a Doctor (2015 Remaster)
van-halen--spanish-fly|97235690|61|163.4|Spanish Fly (2015 Remaster)
van-halen--unchained|97325636|209|136.9|Unchained (2015 Remaster)
van-halen--you-really-got-me|97173550|156|138.7|You Really Got Me (2015 Remaster)
village-people--ymca|917438742|350|0|Y.M.C.A. (Live)
voivod--x-stream|||0|
warrant--cherry-pie|594917|201|88.5|Cherry Pie
weezer--dope-nose|390293381|135|128|Dope Nose
weezer--my-name-is-jonas|2542114|204|186.2|My Name Is Jonas
weezer--why-bother|2960595|128|140.2|Why Bother?
white-lion--radar-love|6626394|359|101.1|Radar Love
white-zombie--black-sunshine|2294416|289|166.7|Black Sunshine
white-zombie--thunder-kiss-65|2294415|233|112.7|Thunder Kiss '65
wild-cherry--play-that-funky-music|1067076|302|109.4|Play That Funky Music
willie-nelson--on-the-road-again|72789516|153|110.8|On the Road Again
winger--seventeen|3785439242|239|0|Seventeen
wings--band-on-the-run|||0|
wolfmother--back-round|4110674|236|153.7|Back Round
wolfmother--sundial|4275109|228|87|Sundial
wolfmother--woman|7558183|144|173|Woman (Sony Connect SXSW)
x--los-angeles|3877566|144|185.4|Los Angeles
yellowcard--ocean-avenue|3361193|195|173.7|Ocean Avenue
yellowcard--the-takedown|3224955|217|152|The Takedown
you-me-at-six--lived-a-lie|3786114822|203|0|Lived A Lie
zz-top--la-grange|694980152|232|160.3|La Grange (2019 Remaster)
zz-top--sharp-dressed-man|694980162|252|124.9|Sharp Dressed Man (2019 Remaster)
