# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
billy-idol--rebel-yell|353398301|285|166|Rebel Yell
billy-idol--white-wedding-part-1|355108531|252|147.1|White Wedding (Pt. 1)
billy-squier--lonely-is-the-night|10197546|279|168.1|Lonely Is The Night
black-label-society--fire-it-up|559597822|300|92.5|Fire It Up
black-label-society--stillborn|559598872|196|107.1|Stillborn
black-rebel-motorcycle-club--weapon-of-choice|||0|
black-sabbath--children-of-the-grave|3783164482|315|0|Children of the Grave (Remastered 2009)
black-sabbath--iron-man|3788156072|356|0|Iron Man (Remastered 2009)
black-sabbath--paranoid|3788156052|169|0|Paranoid (Remastered 2009)
black-sabbath--war-pigs|3788156042|476|0|War Pigs (Remastered 2009)
blind-melon--tones-of-home|3359647|266|115.2|Tones Of Home
blink-182--dammit|127354201|166|108.8|Dammit
blink-182--first-date|125173830|169|191.4|First Date
blink-182--the-rock-show|125173836|169|193.2|The Rock Show
bloc-party--helicopter|679919182|255|176.7|Helicopter (Live)
blondie--one-way-or-another|3100596|214|0|One Way Or Another (Remastered 2001)
blue-oyster-cult--burnin-for-you|68908937|270|134.2|Burnin' for You
blue-oyster-cult--cities-on-flame-with-rock-and-roll|82692282|243|177.4|Cities On Flame with Rock and Roll
blue-oyster-cult--godzilla|15740554|221|182.9|Godzilla
blur--song-2|3102130|121|129.6|Song 2
bob-dylan--all-along-the-watchtower|15347301|152|129.2|All Along the Watchtower
bob-seger-and-the-silver-bullet-band--hollywood-nights|1445506722|299|0|Hollywood Nights
bob-seger-and-the-silver-bullet-band--turn-the-page|1445506702|301|0|Turn The Page (Live)
bon-jovi--livin-on-a-prayer|538660022|249|122.3|Livin' On A Prayer
bon-jovi--you-give-love-a-bad-name|577487242|222|122.7|You Give Love A Bad Name
boston--more-than-a-feeling|1037414|285|109.4|More Than a Feeling
brand-new--sowing-season-yeah|1175262|270|116.5|Sowing Season (Yeah)
bret-michaels-band--go-that-far|||0|
brian-kahanek--gemini|||0|
bring-me-the-horizon--shadow-moses|65245766|242|143.1|Shadow Moses
buckethead--jordan|||0|
bullet-for-my-valentine--scream-aim-fire|2651009|266|101.6|Scream Aim Fire
burning-brides--heart-full-of-black|11536311|195|145.6|Heart Full of Black
bush--comedown|361116521|326|139.7|Comedown (Remastered)
bush--machinehead|361116541|256|112.7|Machinehead (Remastered 2014)
buzzcocks--what-do-i-get|67558866|163|95.3|What Do I Get?
carl-douglas--kung-fu-fighting|3782909292|198|113|Kung Fu Fighting
cheap-trick--dream-police|82325634|233|0|Dream Police
